month,Cause,Foreclosure,No Cause,Non-payment of Rent,SP Transfer- No Cause
Dec 2019,53,1,18,312,3
Jan 2020,50,1,27,322,0
Feb 20,50,5,23,352,0
Mar 20,37,0,14,282,0
Apr 20,17,1,3,23,0
May 20,4,0,0,0,0
Jun 20,3,0,0,0,0
Jul 20,8,0,0,0,0
Aug 20,11,0,0,0,0
Sep 20,4,0,0,0,0
Oct 20,17,0,1,4,0
Nov 20,28,0,4,136,0
Dec 20,27,1,14,226,0
Jan 2021,27,0,3,153,1
Feb 21,28,1,10,89,0
Mar 21,39,0,15,238,0
Apr 21,28,1,19,128,0
May 21,37,0,15,71,0
Jun 21,32,0,14,92,0
Jul 21,33,0,17,68,0
Aug 21,57,0,16,75,1
Sep 21,31,0,28,68,0
Oct 21,43,0,23,70,2
Nov 21,43,0,30,73,0
Dec 21,35,2,19,128,0
Jan 2022,43,2,9,99,1
Feb 22,25,0,17,61,0
Mar 22,45,2,24,97,1
Apr 22,63,1,38,121,0
May 22,65,0,49,101,0
Jun 22,56,1,36,115,1
Jul 22,48,2,27,112,4
Aug 22,86,3,30,144,2
Sep 22,46,0,25,82,1
