month,Cause,Foreclosure,No Cause,Non-payment of Rent,SP Transfer- No Cause
Dec 2019,53,1,18,312,3
Jan 2020,50,1,27,322,0
Feb 2020,50,5,23,352,0
Mar 2020,37,0,14,282,0
Apr 2020,17,1,3,23,0
May 2020,4,0,0,0,0
Jun 2020,3,0,0,0,0
Jul 2020,8,0,0,0,0
Aug 2020,11,0,0,0,0
Sep 2020,4,0,0,0,0
Oct 2020,17,0,1,4,0
Nov 2020,28,0,4,136,0
Dec 2020,27,1,14,226,0
Jan 2021,27,0,3,153,1
Feb 2021,28,1,10,89,0
Mar 2021,39,0,15,238,0
Apr 2021,28,1,19,128,0
May 2021,37,0,15,71,0
Jun 2021,32,0,14,92,0
Jul 2021,33,0,17,68,0
Aug 2021,57,0,16,75,1
Sep 2021,31,0,28,68,0
Oct 2021,43,0,23,70,2
Nov 2021,43,0,30,73,0
Dec 2021,35,2,19,128,0
Jan 2022,43,2,9,99,1
Feb 2022,25,0,17,61,0
Mar 2022,45,2,24,97,1
Apr 2022,63,1,38,121,0
May 2022,65,0,49,101,0
Jun 2022,56,1,36,115,1
Jul 2022,48,2,27,112,4
Aug 2022,86,3,30,144,2
Sep 2022,46,0,25,82,1
