name,count
"Turk, Esq., Jeffrey Craig; Turk and Milone, LLP",688
"Frye, Esq., David; Russo, Frye and Associates, LLP, Two",405
"Flynn, Esq., Frank Anthony; Flynn Law Group",296
"Scolnick, Esq., Stephen M",279
"Downing, Esq., Catherine Frances; Downing Van Dyke, LLC",278
"Russo, Esq., Robert D; Russo, Frye and Associates, LLP",176
"Laverty, Esq., Mark R; Scolnick Laverty and Gouveia LLP",163
"Schrier, Esq., Stuart Ted; Schrier and Associates, P. C.",150
"Saccardi, Esq., Christopher; Broderick Bancroft and Saccardi",134
"Greenman, Esq., Jordana Roubicek; Jordana Roubicek Greenman, Attorney at Law",131
"Cirace, Esq., E. Richard; Cirace and Associates, Ten Emerson Place",122
"Krefetz, Esq., Joshua H; Ligris and Associates, P.C.",120
Self Represented,834
Other,1983
