name,count
"Miller, Esq., Brian A; Greater Boston Legal Services",21
"Whiting, Esq., Patricia Ann; Harvard Legal Aid Bureau",16
"Zimbel, Esq., Barbara R",14
"Elliott, Esq., Kathleen M; Greater Boston Legal Services",14
"Weltman, Esq., Jeremy Y; Ruberto, Israel and Weiner PC",14
"Wilmer, Esq., Debra A",13
"West-Idahosa, Esq., Osayame M",13
"Zakim, Esq., Deena; Greater Boston Legal Services",11
"Gribben, Esq., Maggie; Greater Boston Legal Services",11
"Caramello, Esq., Heather Esme; Harvard Legal Aid Bureau",9
"Devanthery, Esq., Julia E; Legal Services Center of Harvard Law School",9
"Lawrence, Esq., Eloise Paul; Harvard Legal Aid Bureau",8
Self Represented,3008
Other,261
